               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036508,            0.041448,          0.00041273,             0.63604,             0.46831,             0.51006,             0.30421,            0.037314,            0.042874,          0.00056018,           0.0082675,           0.0082675,           0.0082675
                  37,            0.036743,            0.041268,          0.00069394,             0.48363,             0.57299,             0.47467,             0.30216,             0.03465,            0.041447,            0.001218,            0.008218,            0.008218,            0.008218
                  38,            0.036062,            0.041031,          0.00036645,             0.48402,             0.46027,             0.49098,             0.30038,            0.035394,            0.037556,          0.00024699,           0.0081685,           0.0081685,           0.0081685
                  39,            0.035728,            0.040249,          0.00037499,              0.4745,             0.51719,             0.47395,             0.28828,            0.036666,            0.042256,           0.0026676,            0.008119,            0.008119,            0.008119
                  40,            0.035721,             0.04068,          0.00053222,              0.4789,             0.65826,             0.50069,             0.31024,            0.034067,            0.038072,          0.00053997,           0.0080695,           0.0080695,           0.0080695
                  41,            0.035864,            0.041712,          0.00045086,              0.5094,             0.58716,             0.50208,             0.30126,            0.034567,            0.037953,          0.00071038,             0.00802,             0.00802,             0.00802
                  42,            0.035117,            0.040209,          0.00038281,             0.51514,             0.52545,             0.50755,             0.31363,            0.034055,            0.038845,          0.00049542,           0.0079705,           0.0079705,           0.0079705
                  43,            0.035391,            0.040217,          0.00040976,             0.49437,              0.6471,              0.5058,             0.30342,            0.034925,            0.040171,          0.00033453,            0.007921,            0.007921,            0.007921
                  44,            0.035201,            0.040539,          0.00034956,             0.48004,             0.70727,             0.50995,             0.30351,            0.034558,            0.039453,           0.0013163,           0.0078715,           0.0078715,           0.0078715
                  45,            0.035139,            0.040333,           0.0004173,             0.50693,             0.58951,              0.5001,             0.30442,            0.035395,            0.037617,          0.00088572,            0.007822,            0.007822,            0.007822
                  46,            0.034674,            0.039497,          0.00036588,             0.52231,             0.78125,             0.54192,             0.32133,            0.034969,            0.037825,          0.00057031,           0.0077725,           0.0077725,           0.0077725
                  47,            0.034381,            0.039342,          0.00036335,             0.51339,             0.71295,             0.50758,             0.30683,            0.035306,            0.038785,           0.0006382,            0.007723,            0.007723,            0.007723
                  48,             0.03433,            0.039574,          0.00032086,             0.56296,             0.64716,             0.55655,             0.35358,            0.032729,            0.037682,          0.00060789,           0.0076735,           0.0076735,           0.0076735
                  49,             0.03427,            0.039443,          0.00032458,              0.6598,             0.58326,             0.60182,              0.3777,            0.033223,            0.036591,           0.0002093,            0.007624,            0.007624,            0.007624
                  50,            0.034423,             0.03981,          0.00033079,             0.64617,              0.5206,             0.53741,             0.34529,            0.032537,             0.03669,          0.00027566,           0.0075745,           0.0075745,           0.0075745
                  51,            0.033886,            0.038644,          0.00030065,             0.58181,             0.63882,             0.54148,             0.32124,            0.034331,             0.03808,          0.00095065,            0.007525,            0.007525,            0.007525
                  52,            0.033717,            0.039864,           0.0003223,             0.54426,             0.58163,              0.5135,             0.32565,            0.033133,            0.038681,           0.0010357,           0.0074755,           0.0074755,           0.0074755
                  53,            0.033767,            0.038573,           0.0002712,             0.51838,             0.59196,             0.49433,             0.31228,            0.032814,            0.037059,          0.00068732,            0.007426,            0.007426,            0.007426
                  54,             0.03334,            0.038376,          0.00052572,             0.56241,             0.50907,             0.51497,             0.32648,            0.032755,            0.037123,          0.00028439,           0.0073765,           0.0073765,           0.0073765
                  55,            0.033505,            0.040134,          0.00032435,             0.68576,             0.58147,             0.57518,             0.37032,            0.033064,            0.036167,          0.00060883,            0.007327,            0.007327,            0.007327
                  56,            0.032996,            0.038631,          0.00030979,             0.57987,             0.70603,              0.5405,             0.33161,            0.032886,            0.037666,          0.00079955,           0.0072775,           0.0072775,           0.0072775
